"","sites","dates","point","veg."
"1","M",1,1,"BRAS"
"2","M",1,2,"BRAS"
"3","M",1,3,"BRAS"
"4","M",1,4,"BRAS"
"5","M",1,5,"BRAS"
"6","M",1,6,"BRAS"
"7","M",1,7,"BRAS"
"8","M",1,9,"FAL"
"9","M",1,10,"PUMP"
"10","M",1,11,"PUMP"
"11","M",1,12,"FAL"
"12","M",1,13,"TA"
"13","M",1,14,"TA"
"14","M",1,15,"NCV"
"15","M",1,16,"NCV"
"16","M",1,17,"NCV"
"17","M",1,18,"BRAS"
"18","M",1,20,"TA"
"19","M",1,21,"TA"
"20","M",1,22,"FAL"
"21","M",1,23,"FM"
"22","M",1,24,"FM"
"23","M",1,25,"FM"
"24","M",1,26,"FM"
"25","M",1,27,"FM"
"26","M",1,28,"FM"
"27","M",1,29,"BRAS"
"28","M",1,30,"BRAS"
"29","M",2,1,"BRAS"
"30","M",2,2,"BRAS"
"31","M",2,3,"BRAS"
"32","M",2,4,"BRAS"
"33","M",2,5,"BRAS"
"34","M",2,6,"BRAS"
"35","M",2,7,"BRAS"
"36","M",2,8,"FAL"
"37","M",2,9,"FAL"
"38","M",2,10,"PUMP"
"39","M",2,11,"PUMP"
"40","M",2,12,"FAL"
"41","M",2,13,"TA"
"42","M",2,14,"TA"
"43","M",2,15,"NCV"
"44","M",2,16,"NCV"
"45","M",2,17,"NCV"
"46","M",2,18,"BRAS"
"47","M",2,20,"TA"
"48","M",2,21,"TA"
"49","M",2,22,"FAL"
"50","M",2,23,"FM"
"51","M",2,24,"FM"
"52","M",2,25,"FM"
"53","M",2,26,"FM"
"54","M",2,27,"FM"
"55","M",2,28,"FM"
"56","M",2,29,"BRAS"
"57","N1",1,1,"BRAS"
"58","N1",1,2,"BRAS"
"59","N1",1,3,"BRAS"
"60","N1",1,4,"BRAS"
"61","N1",1,5,"BRAS"
"62","N1",1,6,"BRAS"
"63","N1",1,7,"NCV"
"64","N1",1,8,"NCV"
"65","N1",1,9,"NCV"
"66","N1",1,10,"LIT"
"67","N1",1,11,"LIT"
"68","N1",1,12,"SP"
"69","N1",1,13,"SP"
"70","N1",1,14,"BRAS"
"71","N1",1,15,"BRAS"
"72","N1",1,16,"SP"
"73","N1",1,17,"BRAS"
"74","N1",1,18,"FM"
"75","N1",1,19,"NCV"
"76","N1",1,20,"BRAS"
"77","N1",1,21,"BRAS"
"78","N1",1,22,"FM"
"79","N1",1,23,"FM"
"80","N1",1,24,"FM"
"81","N1",1,25,"FM"
"82","N1",1,26,"FM"
"83","N1",2,1,"BRAS"
"84","N1",2,2,"BRAS"
"85","N1",2,3,"BRAS"
"86","N1",2,4,"BRAS"
"87","N1",2,5,"BRAS"
"88","N1",2,6,"BRAS"
"89","N1",2,7,"NCV"
"90","N1",2,8,"NCV"
"91","N1",2,9,"NCV"
"92","N1",2,10,"LIT"
"93","N1",2,11,"LIT"
"94","N1",2,12,"SP"
"95","N1",2,13,"SP"
"96","N1",2,14,"BRAS"
"97","N1",2,15,"BRAS"
"98","N1",2,16,"SP"
"99","N1",2,17,"BRAS"
"100","N1",2,18,"FM"
"101","N1",2,19,"NCV"
"102","N1",2,20,"BRAS"
"103","N1",2,21,"BRAS"
"104","N1",2,22,"FM"
"105","N1",2,23,"FM"
"106","N1",2,24,"FM"
"107","N1",2,25,"FM"
"108","N1",2,26,"FM"
"109","N2",1,1,"BRAS"
"110","N2",1,2,"BRAS"
"111","N2",1,3,"BRAS"
"112","N2",1,4,"BRAS"
"113","N2",1,5,"BRAS"
"114","N2",1,6,"BRAS"
"115","N2",1,7,"BRAS"
"116","N2",1,8,"BRAS"
"117","N2",1,9,"BRAS"
"118","N2",1,10,"BRAS"
"119","N2",1,11,"NCV"
"120","N2",1,12,"NCV"
"121","N2",1,13,"NCV"
"122","N2",1,14,"SP"
"123","N2",1,15,"SP"
"124","N2",1,17,"BRAS"
"125","N2",1,18,"NCV"
"126","N2",1,19,"NCV"
"127","N2",1,20,"SP"
"128","N2",1,21,"SP"
"129","N2",1,22,"NCV"
"130","N2",1,23,"NCV"
"131","N2",1,24,"NCV"
"132","N2",1,25,"FM"
"133","N2",1,26,"FM"
"134","N2",1,27,"FM"
"135","N2",1,28,"FM"
"136","N2",2,1,"BRAS"
"137","N2",2,2,"BRAS"
"138","N2",2,3,"BRAS"
"139","N2",2,4,"BRAS"
"140","N2",2,5,"BRAS"
"141","N2",2,6,"BRAS"
"142","N2",2,7,"BRAS"
"143","N2",2,8,"BRAS"
"144","N2",2,9,"BRAS"
"145","N2",2,10,"BRAS"
"146","N2",2,11,"NCV"
"147","N2",2,12,"NCV"
"148","N2",2,14,"SP"
"149","N2",2,15,"SP"
"150","N2",2,16,"BRAS"
"151","N2",2,17,"BRAS"
"152","N2",2,18,"NCV"
"153","N2",2,19,"NCV"
"154","N2",2,20,"SP"
"155","N2",2,21,"SP"
"156","N2",2,22,"NCV"
"157","N2",2,23,"NCV"
"158","N2",2,24,"NCV"
"159","N2",2,25,"FM"
"160","N2",2,26,"FM"
"161","N2",2,27,"FM"
"162","N2",2,28,"FM"
