 ,SPECIES,CODE,LYW,LAL,LPW,LPH,LEW,LFL,LTR,LRL,LFW,LTL,CLG,CLB,WIN,PRS,OVE,FOA,DAY,BRE,EME,ACT
1,"Agonum fuliginosum (Panzer, 1809)",agon fuli,-0.03,0.1,-0.03,0,0.01,0.05,0.05,0.06,0.01,1.82,2,2,2,1,1,2,2?,1,3,1
2,"Agonum muelleri (Herbst, 1784)",agon muel,-0.02,0.07,-0.02,-0.01,0.02,0.02,0.03,0.01,0.04,1.92,2,3,3,1,1,2,2,1,2,2
3,"Amara aenea (De Geer, 1794)",amar aene,-0.06,-0.14,0.1,0.03,0.04,-0.06,0.05,-0.04,0.05,1.9,1,3,3,3,1,3,1,1,2,2
4,"Amara apricaria (Paykull, 1790)",amar apri,-0.04,-0.11,0.06,0.01,0.02,-0.09,-0.01,-0.1,0.06,1.94,1,1,3,3,2,3,2,3,2,2
5,"Curtonotus aulicus (Panzer, 1797) (=Amara aulica)",amar auli,0,-0.07,0.06,0.03,0.01,-0.04,0.05,-0.03,0.09,2.13,1,1,3,3,2,3,2,3,2,2
6,"Amara bifrons (Gyllenhal, 1810)",amar bifo,-0.1,-0.06,0.08,0.02,0.02,-0.06,0.03,-0.06,0.08,1.85,1,1,3,3,2,3,2,3,2,2
7,"Amara communis (Panzer, 1797)",amar comm,-0.09,-0.09,0.13,0.03,0.03,-0.07,0.01,-0.07,0.03,1.91,2,2,3,3,2,3,1,1,2,1
8,"Amara eurynota (Panzer, 1797)",amar eury,-0.07,-0.13,0.13,0.03,0.06,-0.04,0.05,-0.01,0.07,2.06,1,3,3,3,2,3,1,3,2,1
9,"Amara familiaris (Duftschmid, 1812)",amar fami,-0.07,-0.09,0.1,0.02,0.03,-0.06,0.02,-0.07,0.04,1.87,1,2,3,3,1,3,1,1,2,1
10,"Amara lunicollis Schiödte, 1837",amar luni,-0.23,-0.1,0.11,0.01,0.02,-0.07,0,-0.06,0.02,1.95,2,2,3,3,1,3,1,1,2,2
11,"Amara plebeja (Gyllenhal, 1810)",amar pleb,-0.02,-0.08,0.08,0.02,0.02,-0.03,0,-0.02,0.02,1.9,1,3,3,3,1,3,1,1,2,2
12,"Anchomenus dorsalis (Pontoppidan, 1763) (=Agonum dorsale)",anch dors,0.05,0.16,-0.1,-0.02,0.01,0.08,0.01,0.13,-0.03,1.86,3,1,3,2,1,2,2,1,2,2
13,"Asaphidion flavipes (Linnaeus, 1761)",asap flav,0.3,0.01,-0.07,0.03,-0.01,0.05,0.02,0.08,-0.02,1.69,1,3,3,2,1,1,1,1,2,2
14,"Bembidion aeneum Germar, 1824",bemb aene,0.04,0.06,0,-0.01,0.03,0.02,0.04,0.02,0,1.66,2,2,2,1,2,2,2?,1,2,1
15,"Bembidion bruxellense Wesmael, 1835",bemb brux,-0.02,0.06,-0.05,-0.03,0.01,0.02,0,0,-0.04,1.71,1,1,3,2,1,2,1,1,2,1
16,"Bembidion guttula (Fabricius, 1792)",bemb gutt,0.03,0.06,0,0.01,0.01,0.03,0.04,0.03,-0.02,1.56,1,2,2,1,1,2,2,1,2,1
17,"Bembidion lampros (Herbst, 1784)",bemb lamp,0.19,0.04,-0.01,0.02,0,0.02,0.03,0.05,-0.01,1.6,1,2,2,2,1,1,1,1,2,1
18,"Bembidion mannerheimi C.R. Sahlberg, 1834",bemb mann,0.07,0.07,0.04,0.03,0.02,0.05,0.05,0.02,0.04,1.53,1,2,1,1,1,2,2?,1,2,1
19,"Bembidion obtusum Serville, 1821",bemb obtu,-0.02,0.04,0.02,0.01,0.01,0.02,0.02,0.04,0.01,1.51,1,1,2,1,1,2,2,3,2,1
20,"Bembidion tetracolum Say, 1823",bemb tetr,-0.02,0.07,-0.05,-0.02,0.01,0.04,0.03,0.01,0.02,1.76,1,1,2,2,1,2,2,1,2,1
21,"Bradycellus harpalinus (Serville, 1821)",brad harp,-0.04,-0.06,-0.02,-0.02,0.02,-0.05,-0.03,-0.12,-0.06,1.69,1,1,2,1,2,3,2?,3,2,2
22,"Bradycellus ruficollis (Stephens, 1828)",brad rufi,-0.12,-0.07,-0.01,-0.01,0.02,-0.06,-0.05,-0.12,-0.08,1.57,1,2,3,1,1,3,2?,3,2,1
23,"Calathus fuscipes (Goeze, 1777)",cala fusc,-0.03,-0.01,0,0,-0.03,-0.01,0.07,0.05,0.03,2.09,1,2,1,3,2,2,2,3,2,2
24,"Calathus melanocephalus (Linnaeus, 1758)",cala mela,-0.1,0.03,0.02,-0.01,-0.02,-0.02,0.07,0.06,-0.01,1.92,1,1,2,3,2,2,2,3,2,1
25,"Calathus micropterus (Duftschmid, 1812)",cala micr,-0.14,0.04,-0.01,-0.02,-0.01,0.01,0.06,0.07,-0.01,1.92,1,2,1,3,2,2,2,3,2,2
26,"Carabus arvensis Herbst, 1784",cara arve,0,0.03,0,0.02,0.01,0.01,-0.06,0.04,0,2.28,2,3,1,1,1,2,1,1,2,2
27,"Carabus glabratus Paykull, 1790",cara glab,-0.05,0,-0.01,0,-0.02,0.01,-0.11,-0.04,-0.04,2.4,2,2,1,2,2,2,2,2,3,2
28,"Carabus granulatus Linnaeus, 1758",cara gran,0.05,0.08,-0.04,0,-0.01,0.03,-0.07,0.05,-0.01,2.29,2,3,1,2,1,2,2,1,2,2
29,"Carabus nemoralis O. Müller, 1764",cara nemo,0.05,0.02,0.02,0.03,0.02,0,-0.05,0,0.01,2.37,2,3,1,2,2,2,2,1,2,2
30,"Carabus nitens Linnaeus, 1758",cara nite,-0.16,-0.08,0.01,0.04,0.01,-0.01,-0.05,-0.01,-0.01,2.22,2,3,1,1,1,2,1,2,2,1
31,"Carabus problematicus Herbst, 1786",cara prob,0.06,0.04,-0.04,0,0,0.03,-0.09,0.03,-0.07,2.39,2,2,1,2,2,2,2,2,1,2
32,"Carabus violaceus Linnaeus, 1758",cara viol,-0.02,0,-0.05,-0.01,-0.04,-0.01,-0.12,-0.04,-0.08,2.41,2,2,1,2,2,2,2,3,2,2
33,"Clivina fossor (Linnaeus, 1758)",cliv foss,-0.19,-0.18,-0.05,-0.02,-0.1,-0.16,-0.11,-0.21,-0.1,1.8,1,1,2,1,2,2,2,1,3,2
34,"Cychrus caraboides (Linnaeus, 1758)",cych cara,-0.04,0.11,-0.12,-0.01,0,0.09,-0.13,0.02,-0.08,2.24,2,2,1,1,2,2,2,3,2,2
35,"Dyschiroides globosus (Herbst, 1783) (=Dyschirius globosus)",dysc glob,-0.06,-0.16,-0.01,0.07,-0.04,-0.12,-0.21,-0.17,-0.14,1.45,2,2,1,1,1,2,1,1,2,1
36,"Elaphrus cupreus Duftschmid, 1812",elap cupr,0.25,-0.08,-0.06,0.04,0.03,0.01,-0.12,0.01,-0.07,1.98,3,3,3,2,1,2,1,1,2,2
37,"Elaphrus uliginosus Fabricius, 1775",elap ulig,0.3,-0.13,-0.04,0.04,0.02,-0.01,-0.14,-0.01,-0.05,2,3,3,3,2,1,2,1,1,2,2
38,"Harpalus affinis (Schrank, 1781)",harp affi,-0.07,-0.08,0.06,0.03,0.01,-0.05,0.11,-0.09,0.11,2.02,1,3,3,3,2,3,2,1,2,1
39,"Harpalus latus (Linnaeus, 1758)",harp latu,-0.1,-0.06,0.09,0.03,0.02,-0.03,0.12,-0.11,0.11,2.01,1,2,3,3,1,3,2,2,2,1
40,"Harpalus rufipes (De Geer, 1774)",harp rufi,0.02,-0.07,0.03,0.01,-0.01,-0.04,0.12,-0.07,0.06,2.19,1,1,3,3,2,3,2,3,2,2
41,"Leistus terminatus (Hellwig in Panzer, 1793) (=L. rufescens)",leis term,0.06,0.15,0,-0.02,-0.01,0.08,-0.1,0.1,-0.04,1.84,1,1,2,2,2,1,2,3,2,2
42,"Loricera pilicornis (Fabricius, 1775)",lori pili,0.04,0.06,-0.02,-0.04,-0.01,0.05,0.04,0.06,-0.04,1.9,2,2,3,1,1,1,2,2,3,2
43,"Nebria brevicollis (Fabricius, 1792)",nebr brev,0.07,0.07,0.01,-0.01,0.01,0.04,-0.1,0.05,-0.09,2.1,1,2,3,2,2,2,2,3,1,1
44,"Nebria salina Fairmaire & Laboulbène, 1854",nebr sali,0.03,0.07,0.01,-0.01,0.01,0.06,-0.1,0.06,-0.09,2.08,1,2,3,2,2,2,2,3,1,2
45,"Notiophilus aquaticus (Linnaeus, 1758)",noti aqua,0.35,-0.16,-0.01,-0.01,-0.04,0.01,-0.11,0.08,0.01,1.77,3,3,2,2,2?,1,1,2,2,2?
46,"Notiophilus biguttatus (Fabricius, 1779)",noti bigu,0.37,-0.15,0.03,0.01,-0.03,0.02,-0.12,0.06,-0.02,1.75,3,3,2,2,1,1,1,1,2,2
47,"Notiophilus germinyi Fauvel, 1863",noti germ,0.39,-0.13,0.04,0.05,-0.02,0.03,-0.09,0.1,0.02,1.76,3,3,3,2,2,1,1,1,2,2
48,"Notiophilus palustris (Duftschmid, 1812)",noti palu,0.37,-0.15,0.02,0.02,-0.03,0.01,-0.1,0.06,-0.04,1.78,3,3,2,2,2,1,1,3,2,2
49,"Notiophilus substriatus Waterhouse, 1833",noti subs,0.34,-0.16,0.01,0,-0.03,0,-0.09,0.07,-0.02,1.74,3,3,1,2,1,1,1,1,3,2
50,"Olisthopus rotundatus (Paykull, 1790)",olis rotu,-0.06,0.01,0,-0.02,0,0.02,0.09,-0.01,0.06,1.86,1,1,2,1,2,2,2?,3,2,2
51,"Patrobus assimilis Chaudoir, 1844",patr assi,-0.03,0.05,-0.05,-0.02,-0.03,-0.03,0.01,-0.07,0.05,1.91,1,1,1,2,2,2,2?,2,2,2
52,"Patrobus atrorufus (Ström, 1768)",patr atro,0.05,0.07,-0.04,-0.02,-0.02,0,-0.01,-0.02,0.01,1.93,1,1,1,2,2,2,2,3,2,2
53,"Poecilus versicolor (Sturm, 1824) (=Pterostichus versicolor)",poec vers,-0.02,-0.02,0.05,0.01,-0.01,-0.03,0.11,0.05,0.07,2.09,2,3,3,1,1,2,1,2,3,1
54,"Pterostichus adstrictus Eschscholtz, 1823",pter adst,-0.01,-0.03,0.01,-0.01,-0.01,-0.02,0.06,-0.03,-0.08,2.1,2,2,3,3,2,2,2,2,2,2
55,"Pterostichus diligens (Sturm, 1824)",pter dili,-0.09,-0.01,0.01,0.01,-0.03,-0.03,0.05,-0.07,0,1.8,2,2,2,2,2,2,2,1,3,1
56,"Pterostichus madidus (Fabricius, 1775)",pter madi,0,-0.02,0.03,0.01,-0.02,-0.03,0.12,-0.04,0.08,2.2,1,2,1,1,2,3,2,3,2,2
57,"Pterostichus melanarius (Illiger, 1798)",pter mela,-0.01,-0.05,0.03,0,-0.02,-0.04,0.09,-0.08,0.06,2.22,2,2,2,3,2,2,2,3,1,2
58,"Pterostichus niger (Schaller, 1783)",pter nige,0.03,0.02,-0.03,-0.05,-0.02,0.01,0.11,-0.05,0.03,2.29,2,2,3,3,2,2,2,3,1,2
59,"Pterostichus nigrita (Paykull, 1790)",pter nigr,-0.01,0.01,0.02,-0.01,-0.01,-0.04,0.1,-0.04,0.05,2.06,2,2,2,3,2,2,2,1,2,2
60,"Pterostichus rhaeticus Heer, 1838",pter rhae,-0.01,-0.01,0.04,0.02,-0.02,-0.02,0.12,-0.03,0.07,2,2,2,2,3,2,2,2,1,2,2?
61,"Pterostichus strenuus (Panzer, 1797)",pter stre,-0.04,0.01,0,-0.01,-0.01,-0.03,0.04,-0.05,0.01,1.83,1,1,2,2,1,2,2,1,2,1
62,"Pterostichus vernalis (Panzer, 1796)",pter vern,-0.05,0.02,0.03,0.01,-0.03,-0.02,0.11,0.02,0.03,1.85,1,1,2,3,1,2,2,1,3,1
63,"Stomis pumicatus (Panzer, 1796)",stom pumi,-0.07,0.08,-0.06,-0.03,-0.06,-0.03,0.03,-0.05,0.01,1.86,1,1,1,2,1,2,2,1,2,1
64,"Synuchus vivalis (Illiger, 1798) (=S. nivalis)",synu viva,-0.09,0.04,-0.01,-0.02,-0.02,0,0.07,-0.01,0.06,1.86,1,1,2,1,2,3,2,3,2,2
65,"Trechoblemus micros (Herbst, 1784) (=Trechus micros)",trec micr,-0.38,0.14,-0.03,-0.04,-0.04,0.08,0.01,0.08,0.01,1.63,1,1,3,2,2,1,2?,2,2,1
66,"Trechus obtusus (Erichson, 1837)",trec obtu,-0.14,0.09,0.01,-0.01,0.04,0.07,0.04,0.01,0.13,1.6,1,1,1,1,2,1,2,3,1,2
67,"Trechus quadristriatus (Schrank, 1781)",trec quad,-0.13,0.08,-0.01,-0.03,0.03,0.04,0.04,0,0.08,1.62,1,1,3,1,2,1,2,3,2,1
68,"Trechus rubens (Fabricius, 1792)",trec rube,-0.22,0.12,-0.05,-0.01,0.01,0.07,0.05,0.05,0.02,1.75,1,1,3,1,1,2,2,3,2,1
